family,symbol,side,lookback,hold,threshold,aux,stop,target,key,robust_dev,neighbor_count,neighbor_pass_ratio,neighbor_median_val_pf,valid_blocks,positive_blocks,positive_block_ratio,train_trades,train_pf,train_cagr,val_trades,val_pf,val_cagr,holdout_gate,holdout_trades,holdout_pf,holdout_cagr,holdout_dd,holdout_boot5,stress_pf,stress_cagr
climax_reversal,SOLUSDT,long,6,9,0.015,2.0,0.0,0.018,5ae860a2a138,True,12,0.9166666666666666,2.5133981846587585,5,4,0.8,38,2.5997730266786063,0.2304168566381279,45,3.642497113768884,0.8288942355299755,False,46,0.660935949810601,-0.2096756269800239,-0.3257909572605649,-0.0167213536740398,0.5783408051980112,-0.2524809078428707
compression_break,BTCUSDT,long,30,9,0.006,0.5,0.0,0.045,01b0c7127018,True,12,0.9166666666666666,2.319814583615773,5,5,1.0,34,2.9323539130894485,0.2810962244128148,24,2.548800153819619,0.3358336075187962,False,30,1.2981168778552643,0.0446677083779736,-0.0816957490031401,-0.0044240208734907,1.0698247289616087,0.0077616256153778
climax_reversal,SOLUSDT,long,6,1,0.006,1.40625,0.0,0.03,da7c1d8632a7,True,11,0.9090909090909092,2.0977518441587373,5,5,1.0,100,2.397895214115543,0.6466714855944722,68,2.500664601944695,1.2200051500286548,False,127,0.7933225436800198,-0.1889500024256784,-0.2737721275131352,-0.0051405012782693,0.6577439974162045,-0.3039396787895955
climax_reversal,SOLUSDT,long,3,9,0.015,1.5,0.0,0.018,7d29c8de0b9c,True,11,0.9090909090909092,2.719927012975297,5,5,1.0,75,2.437916043879574,0.4959597196745879,46,3.277663835754105,0.8243917348229537,False,59,0.5240074722711137,-0.3478382073083056,-0.4867808321381207,-0.0175547430220067,0.4544301536556584,-0.3929041395914224
climax_reversal,SOLUSDT,long,3,9,0.01,2.5,0.0,0.018,98bcdc12bae2,True,11,0.8181818181818182,2.455849373084253,5,4,0.8,35,2.4424754093445333,0.2043179285764038,26,3.815794713871166,0.4355263899668204,False,30,0.5168066019936736,-0.2397108558085291,-0.3807916566013835,-0.0272138929450824,0.4566679126102406,-0.2669786597694698
climax_reversal,SOLUSDT,long,3,9,0.006,2.5,0.0,0.018,801325f366c6,True,11,0.8181818181818182,2.6603553477912767,5,4,0.8,35,2.4424754093445333,0.2043179285764038,28,4.147173702924154,0.4989618269045337,False,31,0.541557337961536,-0.2303017425590253,-0.3705531209482886,-0.0255417559533,0.4785519284850757,-0.2587832038739613
climax_reversal,SOLUSDT,long,3,9,0.003,2.5,0.0,0.018,e4e376d7dc6d,True,10,0.8,2.853951617955601,5,4,0.8,35,2.4424754093445333,0.2043179285764038,30,4.480080656376444,0.5655100326482299,False,32,0.5661061747158969,-0.2208537302977502,-0.3602301921318405,-0.0240086080559913,0.5002383052720041,-0.2505708250394448
climax_reversal,SOLUSDT,long,6,1,0.003,1.7578125,0.0,0.03,e30ad610373a,True,10,0.9,2.131659888043431,5,5,1.0,77,2.3463982321245376,0.5247001623388325,58,2.44336709175636,0.9770415034074068,False,86,1.0133499490078868,-0.0085626821086804,-0.1653168799298942,-0.0038036186942301,0.8476952774404747,-0.1058864380089587
climax_reversal,SOLUSDT,long,3,9,0.015,2.0,0.0,0.018,38f1611b5b57,True,11,0.9090909090909092,2.399814278520316,5,5,1.0,48,2.368329816242762,0.2753092246412225,37,2.560230849419963,0.5027232093841212,False,45,0.5397109683788296,-0.2862851987978473,-0.4114014841848316,-0.0202675533821165,0.4714782222543792,-0.3242420554956616
climax_reversal,SOLUSDT,long,3,9,0.015,2.5,0.0,0.018,f993341796bf,True,11,0.7272727272727273,2.455849373084253,5,4,0.8,34,2.360190989027481,0.1911820262383039,26,3.815794713871166,0.4355263899668204,False,29,0.5228840218051837,-0.2352529739605438,-0.3759460412227382,-0.0269097122983662,0.4630215453438306,-0.2617876929295651
